a52dec 0.7.4-8
kmod 18-1
krb5 1.12.2-1
ladspa 1.13-5
lame 3.99.5-2
lbzip2 2.5-2
lcms 1.19-5
lcms2 2.6-1
ldb 1.1.17-1
ldns 1.6.17-1
less 468-1
lesstif 0.95.2-6
lib32-acl 2.2.52-2
lib32-alsa-lib 1.0.28-1
lib32-alsa-plugins 1.0.28-1
lib32-attr 2.4.47-1
lib32-bzip2 1.0.6-2
lib32-curl 7.38.0-1
lib32-e2fsprogs 1.42.12-1
lib32-expat 2.1.0-2
lib32-flac 1.3.0-1
lib32-fontconfig 2.11.1-1
lib32-freetype2-infinality-ultimate 2.5.3-11
lib32-gcc-libs 4.9.1-2
lib32-gettext 0.19.2-1
lib32-glib2 2.40.0-1
lib32-glibc 2.20-2
lib32-glu 9.0.0-2
lib32-harfbuzz 0.9.35-1
lib32-icu 53.1-1
lib32-json-c 0.12-1
lib32-keyutils 1.5.9-1
lib32-krb5 1.12.2-1
lib32-lame 3.99.5-1
lib32-libasyncns 0.8-7
lib32-libcap 2.24-1
lib32-libdbus 1.8.8-1
lib32-libffi 3.1-1
lib32-libgcrypt 1.6.2-1
lib32-libgpg-error 1.16-1
lib32-libice 1.0.9-1
lib32-libjpeg-turbo 1.3.1-1
lib32-libldap 2.4.40-1
lib32-libltdl 2.4.2-14
lib32-libogg 1.3.1-1
lib32-libpng 1.6.13-1
lib32-libpulse 5.0-1
lib32-libsm 1.2.2-1
lib32-libsndfile 1.0.25-3
lib32-libssh2 1.4.3-2
lib32-libvorbis 1.3.4-1
lib32-libx11 1.6.2-1
lib32-libxau 1.0.8-1
lib32-libxcb 1.11-1
lib32-libxcursor 1.1.14-1
lib32-libxdamage 1.1.4-2
lib32-libxdmcp 1.1.1-2
lib32-libxext 1.3.3-1
lib32-libxfixes 5.0.1-1
lib32-libxi 1.7.4-1
lib32-libxrandr 1.4.2-1
lib32-libxrender 0.9.8-1
lib32-libxtst 1.2.2-1
lib32-mpg123 1.20.1-1
lib32-nvidia-libgl 343.22-1
lib32-nvidia-utils 343.22-1
lib32-openssl 1.0.1.i-1
lib32-pcre 8.35-1
lib32-systemd 216-2
lib32-util-linux 2.25.1-2
lib32-xz 5.0.5-1
lib32-zlib 1.2.8-1
libafterimage 1.20-2
libaio 0.3.109-7
libarchive 3.1.2-8
libass 0.11.2-1
libassuan 2.1.1-1
libasyncns 0.8-5
libatomic_ops 7.4.2-1
libavc1394 0.5.4-2
libbluray 0.6.2-1
libbsd 0.7.0-1
libcaca 0.99.beta18-2
libcacard 2.1.2-1
libcanberra 0.30-4
libcanberra-pulse 0.30-4
libcap 2.24-1
libcap-ng 0.7.4-1
libcdaudio 0.99.12-7
libcddb 1.3.2-4
libcdio 0.92-1
libcdio-paranoia 10.2+0.90+1-2
libcl 1.1-4
libcroco 0.6.8-2
libcups 1.7.5-1
libdaemon 0.14-3
libdatrie 0.2.6-1
libdbus 1.8.8-1
libdc1394 2.2.1-2
libdca 0.0.5-4
libdmx 1.1.3-1
libdrm 2.4.58-1
libdv 1.0.0-6
libdvbpsi 1:1.1.2-1
libdvdnav 5.0.1-1
libdvdread 5.0.0-1
libebml 1.3.0-2
libedit 20140620_3.1-1
libepoxy 1.2-2
libev 4.15-2
libevdev 1.3-1
libevent 2.0.21-3
libexif 0.6.21-2
libffi 3.1-2
libfontenc 1.1.2-1
libftdi-compat 0.20-1
libgcrypt 1.6.2-1
libgcrypt15 1.5.4-3
libgee 0.14.0-1
libgksu 2.0.12-6
libglade 2.6.4-5
libglademm 2.6.7-3
libgme 0.6.0-3
libgnome-keyring 3.12.0-1
libgpg-error 1.16-1
libgtop 2.30.0-1
libguess 1.1-3
libgusb 0.1.6-1
libgxps 0.2.2-3
libice 1.0.9-1
libid3tag 0.15.1b-8
libidn 1.29-1
libiec61883 1.2.0-4
libirman 0.4.5-4
libiscsi 1.12.0-1
libjpeg-turbo 1.3.1-1
libkate 0.4.1-5
libksba 1.3.0-1
libldap 2.4.39-1
liblqr 0.4.2-1
liblrdf 0.5.0-2
libltdl 2.4.2-14
libmad 0.15.1b-7
libmatroska 1.4.1-1
libmms 0.6.4-1
libmng 2.0.2-3
libmodplug 0.8.8.5-1
libmowgli 2.0.0-2
libmp4v2 2.0.0-3
libmpc 1.0.2-2
libmpcdec 1.2.6-4
libmpeg2 0.5.1-5
libmtp 1.1.8-1
libnice 0.1.7-1
libnl 3.2.25-1
libnotify 0.7.6-1
libofa 0.9.3-5
libogg 1.3.1-2
libomxil-bellagio 0.9.3-1
libotf 0.9.13-2
libpaper 1.1.24-7
libpcap 1.6.2-1
libpciaccess 0.13.2-2
libpipeline 1.3.1-1
libpng 1.6.13-1
libproxy 0.4.11-4
