a52dec 0.7.4-8
zenity 3.12.1-2
zenman 1.8-2
zip 3.0-4
zita-alsa-pcmi 0.2.0-1
zita-resampler 1.3.0-2
zlib 1.2.8-3
zsh 5.0.6-1
zsh-completions-git 0.12.0.5.g08afea0-1
zsh-doc 5.0.6-1
zsh-syntax-highlighting 0.2.1-1
zvbi 0.2.33-6
zziplib 0.13.62-2
